Date,ID,Group,ProjectedLeafArea,Diameter,Perimeter,Stockiness,Compactness,Hue,Count,RelativeRateChange,AbsoluteGrowthRate,RelativeGrowthRate
28-Sep-2013 08:00,1,,11467,193.0026,1039,0.13348,0.5373,81.7211,0,NaN,NaN,NaN
28-Sep-2013 08:00,2,,1920,85,418,0.13809,0.48241,81.9893,0,NaN,NaN,NaN
28-Sep-2013 08:00,3,,10118,176.8757,957,0.13883,0.61392,81.3774,0,NaN,NaN,NaN
28-Sep-2013 08:00,4,,368,31.7805,112,0.36866,0.65018,83.4694,0,NaN,NaN,NaN
28-Sep-2013 08:00,5,,7180,181.5544,912,0.10848,0.40547,80.9664,0,NaN,NaN,NaN
28-Sep-2013 08:00,6,,1993,75.1665,392,0.16298,0.54483,82.8032,0,NaN,NaN,NaN
28-Sep-2013 08:00,7,,4605,171.3534,656,0.13447,0.37266,77.9695,0,NaN,NaN,NaN
28-Sep-2013 08:00,8,,12385,197.203,1113,0.126,0.57,80.766,0,N/A,N/A,N/A
28-Sep-2013 08:00,9,,364,30.4795,111,0.37125,0.64539,81.6547,0,NaN,NaN,NaN
28-Sep-2013 08:00,10,,2989,107.912,446,0.18883,0.52328,74.4429,0,NaN,NaN,NaN
28-Sep-2013 08:00,11,,9986,183.9918,897,0.15596,0.51514,77.8923,0,NaN,NaN,NaN
28-Sep-2013 08:00,12,,369,31.7648,109,0.39029,0.64737,79.6252,0,NaN,NaN,NaN
28-Sep-2013 08:00,13,,2105,86.8159,425,0.14645,0.47197,81.0442,0,NaN,NaN,NaN
28-Sep-2013 08:00,14,,2959,109.7725,393,0.24075,0.56416,74.8282,0,NaN,NaN,NaN
28-Sep-2013 08:00,15,,5653,162.3361,735,0.1315,0.4281,76.2007,0,NaN,NaN,NaN
28-Sep-2013 08:00,16,,296,25.2389,74,0.67926,0.75127,80.1107,0,NaN,NaN,NaN
28-Sep-2013 08:00,17,,3658,109.4166,488,0.19303,0.51982,73.7243,0,NaN,NaN,NaN
28-Sep-2013 08:00,18,,7197,188.0425,1035,0.084427,0.38374,78.9073,0,NaN,NaN,NaN
28-Sep-2013 08:00,19,,304,29.4109,84,0.54141,0.76962,81.2796,0,NaN,NaN,NaN
28-Sep-2013 08:00,20,,1373,89.8888,181,0.52665,0.71362,78.6722,0,NaN,NaN,NaN
28-Sep-2013 08:00,21,,2436,94.6414,460,0.14467,0.47634,78.7225,0,NaN,NaN,NaN
28-Sep-2013 08:00,22,,3515,117.686,586,0.129,0.487,73.424,0,N/A,N/A,N/A
28-Sep-2013 08:00,23,,6115,164.906,831,0.11128,0.38024,77.1118,0,NaN,NaN,NaN
28-Sep-2013 08:00,24,,1905,82.9759,415,0.139,0.54335,81.0808,0,NaN,NaN,NaN
28-Sep-2013 19:40,1,,12468,205.3217,1039,0.14514,0.53605,84.2472,0,0.087294,85.8,0.0071736
28-Sep-2013 19:40,2,,2223,86.4002,448,0.13919,0.5147,84.7685,0,0.15781,25.9714,0.01256
28-Sep-2013 19:40,3,,10754,186.0457,1083,0.11522,0.5765,84.9706,0,0.062858,54.5143,0.0052253
28-Sep-2013 19:40,4,,505,33.7343,151,0.27832,0.64168,85.9646,0,0.37228,11.7429,0.027126
28-Sep-2013 19:40,5,,8030,184.2281,888,0.12797,0.43856,86.0042,0,0.11838,72.8571,0.0095902
28-Sep-2013 19:40,6,,2417,89.2749,438,0.15832,0.51756,88.6699,0,0.21274,36.3429,0.016533
28-Sep-2013 19:40,7,,4882,173.8333,724,0.11704,0.39422,81.4502,0,0.060152,23.7429,0.0050068
28-Sep-2013 19:40,8,,12903,190.0658,1008,0.15958,0.59941,83.025,0,0.041825,44.4,0.003512
28-Sep-2013 19:40,9,,424,32.8024,116,0.39597,0.65736,81.9219,0,0.16484,5.1429,0.013078
28-Sep-2013 19:40,10,,3483,111.018,502,0.17368,0.52203,77.4767,0,0.16527,42.3429,0.01311
28-Sep-2013 19:40,11,,11200,187.9628,973,0.14866,0.53789,81.7078,0,0.12157,104.0571,0.009834
28-Sep-2013 19:40,12,,423,33.121,107,0.46428,0.71817,85.2135,0,0.14634,4.6286,0.011706
28-Sep-2013 19:40,13,,2580,97.1236,480,0.14072,0.49031,80.7394,0,0.22565,40.7143,0.017441
28-Sep-2013 19:40,14,,3260,115.5725,481,0.17707,0.49133,77.0774,0,0.10172,25.8,0.0083036
28-Sep-2013 19:40,15,,6146,173.0116,877,0.10042,0.43791,79.7426,0,0.08721,42.2571,0.007167
28-Sep-2013 19:40,16,,291,25.2389,75,0.6501,0.75,81.1687,0,-0.016892,-0.42857,-0.0014602
28-Sep-2013 19:40,17,,3940,116.1077,562,0.15676,0.48696,76.6968,0,0.077091,24.1714,0.0063655
28-Sep-2013 19:40,18,,7750,192.5097,1064,0.086026,0.40085,83.0839,0,0.076838,47.4,0.0063453
28-Sep-2013 19:40,19,,356,31.3209,94,0.5063,0.69126,79.6371,0,0.17105,4.4571,0.013535
28-Sep-2013 19:40,20,,7620,176.0824,1036,0.089217,0.41765,81.4616,0,4.5499,535.4571,0.1469
28-Sep-2013 19:40,21,,2973,109.4578,530,0.133,0.43218,80.2426,0,0.22044,46.0286,0.017076
28-Sep-2013 19:40,22,,4143,124.1974,583,0.15317,0.4789,76.6127,0,0.17866,53.8286,0.01409
28-Sep-2013 19:40,23,,6606,170.7513,903,0.10181,0.38136,81.537,0,0.080294,42.0857,0.00662
28-Sep-2013 19:40,24,,2347,84.5044,419,0.16799,0.58896,83.8297,0,0.23202,37.8857,0.017885
29-Sep-2013 08:00,1,,13699,213.0023,1244,0.11124,0.53,81.7591,0,0.098733,99.8108,0.0076344
29-Sep-2013 08:00,2,,2190,87.6926,437,0.14411,0.50264,81.253,0,-0.014845,-2.6757,-0.0012127
29-Sep-2013 08:00,3,,12039,191.9271,1096,0.12594,0.57691,80.1234,0,0.11949,104.1892,0.0091519
29-Sep-2013 08:00,4,,427,35.171,137,0.28589,0.63542,80.077,0,-0.15446,-6.3243,-0.013603
29-Sep-2013 08:00,5,,9174,186.0779,997,0.11598,0.41982,79.7866,0,0.14247,92.7568,0.010799
29-Sep-2013 08:00,6,,2402,90.6697,441,0.1552,0.48901,82.0555,0,-0.006206,-1.2162,-0.00050476
29-Sep-2013 08:00,7,,4764,167.7051,692,0.12502,0.34574,77.1806,0,-0.02417,-9.5676,-0.0019838
29-Sep-2013 08:00,8,,14892,211.7829,1198,0.13039,0.56533,79.983,0,0.15415,161.2703,0.011624
29-Sep-2013 08:00,9,,382,32.8024,120,0.33336,0.58951,80.1334,0,-0.099057,-3.4054,-0.0084578
29-Sep-2013 08:00,10,,3843,114.9783,568,0.14969,0.53846,73.4488,0,0.10336,29.1892,0.0079751
29-Sep-2013 08:00,11,,12141,202.2993,942,0.17193,0.53398,77.5924,0,0.084018,76.2973,0.0065412
29-Sep-2013 08:00,12,,438,34.4819,115,0.41619,0.68437,80.228,0,0.035461,1.2162,0.0028254
29-Sep-2013 08:00,13,,2613,97.7394,494,0.13455,0.46744,80.3031,0,0.012791,2.6757,0.0010305
29-Sep-2013 08:00,14,,3700,118.8486,485,0.19766,0.51525,73.619,0,0.13497,35.6757,0.010265
29-Sep-2013 08:00,15,,6823,197.3854,941,0.096829,0.41769,76.7694,0,0.11015,54.8919,0.0084728
29-Sep-2013 08:00,16,,283,25.0799,68,0.76909,0.84478,83.1473,0,-0.027491,-0.64865,-0.0022602
29-Sep-2013 08:00,17,,4187,120.5985,561,0.16718,0.488,73.4306,0,0.06269,20.027,0.00493
29-Sep-2013 08:00,18,,8585,208.8492,1130,0.084488,0.3837,79.8773,0,0.10774,67.7027,0.0082965
29-Sep-2013 08:00,19,,358,31.3209,99,0.45901,0.67675,80.5307,0,0.005618,0.16216,0.00045424
29-Sep-2013 08:00,20,,8399,187.3606,1159,0.078573,0.41281,78.0364,0,0.10223,63.1622,0.0078921
29-Sep-2013 08:00,21,,3000,106.1697,531,0.1337,0.4686,79.3401,0,0.0090817,2.1892,0.00073303
29-Sep-2013 08:00,22,,4530,129.2014,698,0.11684,0.47335,73.4057,0,0.093411,31.3784,0.0072407
29-Sep-2013 08:00,23,,7204,188.5126,951,0.1001,0.37568,78.4983,0,0.090524,48.4865,0.0070263
29-Sep-2013 08:00,24,,2305,90.1388,439,0.1503,0.54673,81.6206,0,-0.017895,-3.4054,-0.0014641
29-Sep-2013 19:40,1,,14250,217.3039,1321,0.10262,0.53551,85.3762,0,0.040222,47.2286,0.0033801
29-Sep-2013 19:40,2,,2658,101.789,498,0.13468,0.4625,84.9904,0,0.2137,40.1143,0.0166
29-Sep-2013 19:40,3,,13033,196.6977,1241,0.10634,0.57265,84.4714,0,0.082565,85.2,0.0068
29-Sep-2013 19:40,4,,548,36.6879,138,0.3616,0.65006,84.4612,0,0.28337,10.3714,0.021385
29-Sep-2013 19:40,5,,10298,202.8719,1384,0.06756,0.42787,85.1543,0,0.12252,96.3429,0.0099065
29-Sep-2013 19:40,6,,2638,98.6154,447,0.16591,0.49079,88.0725,0,0.098251,20.2286,0.0080331
29-Sep-2013 19:40,7,,5649,179.6942,807,0.109,0.37388,82.0411,0,0.18577,75.8571,0.014605
29-Sep-2013 19:40,8,,15251,216.9332,1204,0.13221,0.56177,84.2599,0,0.024107,30.7714,0.0020418
29-Sep-2013 19:40,9,,483,34.6699,128,0.37046,0.6527,81.5853,0,0.2644,8.6571,0.020108
29-Sep-2013 19:40,10,,4298,138.2932,562,0.171,0.48141,77.9964,0,0.1184,39,0.0095911
29-Sep-2013 19:40,11,,13071,208.4059,1034,0.15363,0.54131,82.4735,0,0.0766,79.7143,0.0063264
29-Sep-2013 19:40,12,,499,35.805,115,0.47415,0.7048,84.646,0,0.13927,5.2286,0.011176
29-Sep-2013 19:40,13,,3124,124.0363,587,0.11393,0.39944,80.3492,0,0.19556,43.8,0.01531
29-Sep-2013 19:40,14,,3977,123.9395,587,0.14504,0.46105,77.4103,0,0.074865,23.7429,0.0061881
29-Sep-2013 19:40,15,,7150,200.3846,966,0.096286,0.4273,81.3036,0,0.047926,28.0286,0.0040126
29-Sep-2013 19:40,16,,351,26.9258,81,0.67227,0.78523,84.2523,0,0.24028,5.8286,0.018458
29-Sep-2013 19:40,17,,4523,127.4049,618,0.14882,0.47822,77.9321,0,0.080248,28.8,0.0066164
29-Sep-2013 19:40,18,,9363,219.2373,1207,0.080763,0.39383,84.2491,0,0.090623,66.6857,0.0074357
29-Sep-2013 19:40,19,,369,31.7805,98,0.48282,0.67091,79.2136,0,0.030726,0.94286,0.002594
29-Sep-2013 19:40,20,,9680,199.4718,1135,0.094426,0.42497,82.1212,0,0.15252,109.8,0.012167
29-Sep-2013 19:40,21,,3625,123.4544,626,0.11624,0.41184,81.8886,0,0.20833,53.5714,0.016221
29-Sep-2013 19:40,22,,5086,149.2146,684,0.13661,0.45832,77.41,0,0.12274,47.6571,0.0099231
29-Sep-2013 19:40,23,,8135,197.717,1134,0.079495,0.38674,82.7268,0,0.12923,79.8,0.010418
29-Sep-2013 19:40,24,,2956,110.4627,508,0.14394,0.46891,85.301,0,0.28243,55.8,0.021322
30-Sep-2013 08:00,1,,14987,217.3039,1350,0.10334,0.54289,82.495,0,0.051719,59.7568,0.0040886
30-Sep-2013 08:00,2,,2661,100.3444,498,0.13483,0.49906,82.8816,0,0.0011287,0.24324,9.1462e-05
30-Sep-2013 08:00,3,,14116,204.4016,1269,0.11015,0.57145,81.8958,0,0.083097,87.8108,0.0064722
30-Sep-2013 08:00,4,,584,39.8497,159,0.29029,0.62594,83.3473,0,0.065693,2.9189,0.0051588
30-Sep-2013 08:00,5,,11333,237.0654,1454,0.067364,0.39842,81.8207,0,0.1005,83.9189,0.0077651
30-Sep-2013 08:00,6,,2479,87.0057,420,0.1766,0.52823,85.1818,0,-0.060273,-12.8919,-0.0050405
30-Sep-2013 08:00,7,,6354,192.0937,854,0.10948,0.34931,78.8893,0,0.1248,57.1622,0.0095356
30-Sep-2013 08:00,8,,17186,227.5478,1293,0.12918,0.57434,81.1652,0,0.12688,156.8919,0.0096851
30-Sep-2013 08:00,9,,517,35.8469,130,0.38443,0.66367,82.2472,0,0.070393,2.7568,0.0055156
30-Sep-2013 08:00,10,,4750,144.5545,617,0.1568,0.50446,75.0186,0,0.10517,36.6486,0.0081077
30-Sep-2013 08:00,11,,13584,211.341,1023,0.16311,0.54329,79.6379,0,0.039247,41.5946,0.0031213
30-Sep-2013 08:00,12,,519,38.0132,136,0.35261,0.66795,80.4876,0,0.04008,1.6216,0.0031863
30-Sep-2013 08:00,13,,3056,119.708,580,0.11416,0.42105,78.995,0,-0.021767,-5.5135,-0.0017844
30-Sep-2013 08:00,14,,4443,127.3499,611,0.14956,0.48991,74.078,0,0.11717,37.7838,0.008984
30-Sep-2013 08:00,15,,8108,212.7205,1035,0.095114,0.41516,77.3095,0,0.13399,77.6757,0.010195
30-Sep-2013 08:00,16,,368,28.6531,87,0.61097,0.76507,80.1102,0,0.048433,1.3784,0.0038349
30-Sep-2013 08:00,17,,5146,129.7112,670,0.14406,0.51739,74.2431,0,0.13774,50.5135,0.010463
30-Sep-2013 08:00,18,,10483,238.3149,1262,0.082714,0.38839,80.1815,0,0.11962,90.8108,0.0091613
30-Sep-2013 08:00,19,,388,32.0156,103,0.45959,0.6831,78.7925,0,0.051491,1.5405,0.004071
30-Sep-2013 08:00,20,,10707,231.6139,1365,0.072212,0.38433,77.8337,0,0.1061,83.2703,0.0081759
30-Sep-2013 08:00,21,,3621,117.516,600,0.1264,0.44627,78.2505,0,-0.0011034,-0.32432,-8.9518e-05
30-Sep-2013 08:00,22,,5575,157.867,799,0.10974,0.46177,72.12,0,0.096146,39.6486,0.0074433
30-Sep-2013 08:00,23,,9013,214.6742,1262,0.071115,0.35913,77.7445,0,0.10793,71.1892,0.0083102
30-Sep-2013 08:00,24,,2728,108.9312,467,0.15719,0.47051,81.1384,0,-0.077131,-18.4865,-0.0065082
